DDI-DrugBank.d105.s0|DDI-DrugBank.d105.s0.e0|DDI-DrugBank.d105.s0.e1|null|h1_lemma=increase|h2_lemma=aggregation|h1_tag=VB|h2_tag=NN|path=anticoagulant>compound>compound>conj>nmod
DDI-DrugBank.d168.s0|DDI-DrugBank.d168.s0.e1|DDI-DrugBank.d168.s0.e4|null|h1_lemma=depressant|h2_lemma=None|h1_tag=NNS|h2_tag=None|path=None
DDI-DrugBank.d168.s0|DDI-DrugBank.d168.s0.e1|DDI-DrugBank.d168.s0.e5|null|h1_lemma=depressant|h2_lemma=oxidase|h1_tag=NNS|h2_tag=NN|path=compound<conj<obl<interact>compound>dep>compound>conj|lemmainbetween=interact
DDI-DrugBank.d168.s0|DDI-DrugBank.d168.s0.e1|DDI-DrugBank.d168.s0.e6|null|h1_lemma=depressant|h2_lemma=None|h1_tag=NNS|h2_tag=None|path=None
DDI-DrugBank.d168.s0|DDI-DrugBank.d168.s0.e1|DDI-DrugBank.d168.s0.e7|null|h1_lemma=depressant|h2_lemma=None|h1_tag=NNS|h2_tag=None|path=None
DDI-DrugBank.d168.s0|DDI-DrugBank.d168.s0.e2|DDI-DrugBank.d168.s0.e3|null|h1_lemma=medication|h2_lemma=interact|h1_tag=NNS|h2_tag=VB|path=conj<nmod<obj<parataxis<interact>conj|lemmainbetween=interact
DDI-DrugBank.d168.s0|DDI-DrugBank.d168.s0.e2|DDI-DrugBank.d168.s0.e4|null|h1_lemma=medication|h2_lemma=None|h1_tag=NNS|h2_tag=None|path=None
DDI-DrugBank.d168.s0|DDI-DrugBank.d168.s0.e2|DDI-DrugBank.d168.s0.e5|null|h1_lemma=medication|h2_lemma=oxidase|h1_tag=NNS|h2_tag=NN|path=conj<nmod<obj<parataxis<interact>compound>dep>compound>conj|lemmainbetween=interact
DDI-DrugBank.d168.s0|DDI-DrugBank.d168.s0.e2|DDI-DrugBank.d168.s0.e6|null|h1_lemma=medication|h2_lemma=None|h1_tag=NNS|h2_tag=None|path=None
DDI-DrugBank.d168.s0|DDI-DrugBank.d168.s0.e2|DDI-DrugBank.d168.s0.e7|null|h1_lemma=medication|h2_lemma=None|h1_tag=NNS|h2_tag=None|path=None
DDI-DrugBank.d168.s0|DDI-DrugBank.d168.s0.e3|DDI-DrugBank.d168.s0.e4|null|h1_lemma=interact|h2_lemma=None|h1_tag=VB|h2_tag=None|path=None
DDI-DrugBank.d168.s0|DDI-DrugBank.d168.s0.e3|DDI-DrugBank.d168.s0.e5|null|h1_lemma=interact|h2_lemma=oxidase|h1_tag=VB|h2_tag=NN|path=conj<interact>compound>dep>compound>conj|lemmainbetween=interact
DDI-DrugBank.d168.s0|DDI-DrugBank.d168.s0.e3|DDI-DrugBank.d168.s0.e6|null|h1_lemma=interact|h2_lemma=None|h1_tag=VB|h2_tag=None|path=None
DDI-DrugBank.d168.s0|DDI-DrugBank.d168.s0.e3|DDI-DrugBank.d168.s0.e7|null|h1_lemma=interact|h2_lemma=None|h1_tag=VB|h2_tag=None|path=None
DDI-DrugBank.d168.s0|DDI-DrugBank.d168.s0.e4|DDI-DrugBank.d168.s0.e5|null|h1_lemma=None|h2_lemma=oxidase|h1_tag=None|h2_tag=NN|path=None
DDI-DrugBank.d168.s0|DDI-DrugBank.d168.s0.e4|DDI-DrugBank.d168.s0.e6|null|h1_lemma=None|h2_lemma=None|h1_tag=None|h2_tag=None|path=None
DDI-DrugBank.d168.s0|DDI-DrugBank.d168.s0.e4|DDI-DrugBank.d168.s0.e7|null|h1_lemma=None|h2_lemma=None|h1_tag=None|h2_tag=None|path=None
DDI-DrugBank.d168.s0|DDI-DrugBank.d168.s0.e5|DDI-DrugBank.d168.s0.e6|null|h1_lemma=oxidase|h2_lemma=None|h1_tag=NN|h2_tag=None|path=None
DDI-DrugBank.d168.s0|DDI-DrugBank.d168.s0.e5|DDI-DrugBank.d168.s0.e7|null|h1_lemma=oxidase|h2_lemma=None|h1_tag=NN|h2_tag=None|path=None
DDI-DrugBank.d168.s0|DDI-DrugBank.d168.s0.e6|DDI-DrugBank.d168.s0.e7|null|h1_lemma=None|h2_lemma=None|h1_tag=None|h2_tag=None|path=None
DDI-DrugBank.d439.s0|DDI-DrugBank.d439.s0.e0|DDI-DrugBank.d439.s0.e1|effect|h1_lemma=accentuate|h2_lemma=therapy|h1_tag=VB|h2_tag=NN|path=nsubj<accentuate>compound>obl>acl>obj
DDI-DrugBank.d181.s0|DDI-DrugBank.d181.s0.e0|DDI-DrugBank.d181.s0.e1|null|h1_lemma=result|h2_lemma=oxytocin|h1_tag=VB|h2_tag=NN|path=oxytocin>conj
DDI-DrugBank.d181.s0|DDI-DrugBank.d181.s0.e0|DDI-DrugBank.d181.s0.e2|effect|h1_lemma=result|h2_lemma=use|h1_tag=VB|h2_tag=NN|path=nsubj<result>nmod>nsubj
DDI-DrugBank.d181.s0|DDI-DrugBank.d181.s0.e1|DDI-DrugBank.d181.s0.e2|effect|h1_lemma=oxytocin|h2_lemma=use|h1_tag=NN|h2_tag=NN|path=conj<nsubj<result>nmod>nsubj
DDI-DrugBank.d318.s0|DDI-DrugBank.d318.s0.e0|DDI-DrugBank.d318.s0.e1|effect|h1_lemma=b|h2_lemma=agent|h1_tag=NN|h2_tag=NNS|path=compound<obl<parataxis<administer>amod>parataxis|lemmainbetween=interact|lemmainbetween=administer
DDI-DrugBank.d318.s1|DDI-DrugBank.d318.s1.e0|DDI-DrugBank.d318.s1.e1|null|h1_lemma=agent|h2_lemma=mustard|h1_tag=NNS|h2_tag=NN|path=amod<agent>compound>appos>appos
DDI-DrugBank.d318.s2|DDI-DrugBank.d318.s2.e0|DDI-DrugBank.d318.s2.e1|null|h1_lemma=potentiate|h2_lemma=corticosteroid|h1_tag=VB|h2_tag=NNS|path=corticosteroid>conj
DDI-DrugBank.d318.s2|DDI-DrugBank.d318.s2.e0|DDI-DrugBank.d318.s2.e2|null|h1_lemma=potentiate|h2_lemma=corticosteroid|h1_tag=VB|h2_tag=NNS|path=corticosteroid>appos
DDI-DrugBank.d318.s2|DDI-DrugBank.d318.s2.e0|DDI-DrugBank.d318.s2.e3|effect|h1_lemma=potentiate|h2_lemma=hypokalemia|h1_tag=VB|h2_tag=NN|path=nsubj<potentiate>compound>obj
DDI-DrugBank.d318.s2|DDI-DrugBank.d318.s2.e1|DDI-DrugBank.d318.s2.e2|null|h1_lemma=corticosteroid|h2_lemma=corticosteroid|h1_tag=NNS|h2_tag=NNS|path=conj<corticosteroid>appos
DDI-DrugBank.d318.s2|DDI-DrugBank.d318.s2.e1|DDI-DrugBank.d318.s2.e3|effect|h1_lemma=corticosteroid|h2_lemma=hypokalemia|h1_tag=NNS|h2_tag=NN|path=conj<nsubj<potentiate>compound>obj
DDI-DrugBank.d318.s2|DDI-DrugBank.d318.s2.e2|DDI-DrugBank.d318.s2.e3|effect|h1_lemma=corticosteroid|h2_lemma=hypokalemia|h1_tag=NNS|h2_tag=NN|path=appos<nsubj<potentiate>compound>obj
DDI-DrugBank.d318.s5|DDI-DrugBank.d318.s5.e0|DDI-DrugBank.d318.s5.e1|null|h1_lemma=glycoside|h2_lemma=hypokalemia|h1_tag=NNS|h2_tag=NN|path=compound<glycoside>compound>nsubj>parataxis
DDI-DrugBank.d318.s5|DDI-DrugBank.d318.s5.e0|DDI-DrugBank.d318.s5.e2|null|h1_lemma=glycoside|h2_lemma=toxicity|h1_tag=NNS|h2_tag=NN|path=compound<glycoside>compound>obj>parataxis
DDI-DrugBank.d318.s5|DDI-DrugBank.d318.s5.e1|DDI-DrugBank.d318.s5.e2|effect|h1_lemma=hypokalemia|h2_lemma=toxicity|h1_tag=NN|h2_tag=NN|path=compound<nsubj<potentiate>compound>obj
DDI-DrugBank.d318.s7|DDI-DrugBank.d318.s7.e0|DDI-DrugBank.d318.s7.e1|null|h1_lemma=None|h2_lemma=b|h1_tag=TOP|h2_tag=NN|path=Flucytosine>compound>nmod>nsubj:pass>advcl>dep|lemmainbetween=increase
DDI-DrugBank.d318.s7|DDI-DrugBank.d318.s7.e0|DDI-DrugBank.d318.s7.e2|null|h1_lemma=None|h2_lemma=toxicity|h1_tag=TOP|h2_tag=NN|path=Flucytosine>nmod>obj>dep|lemmainbetween=increase
DDI-DrugBank.d318.s7|DDI-DrugBank.d318.s7.e1|DDI-DrugBank.d318.s7.e2|effect|h1_lemma=b|h2_lemma=toxicity|h1_tag=NN|h2_tag=NN|path=compound<nmod<nsubj:pass<advcl<increase>nmod>obj|lemmainbetween=increase
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e0|DDI-DrugBank.d318.s8.e1|null|h1_lemma=suggest|h2_lemma=g.|h1_tag=VBP|h2_tag=NNP|path=Imidazoles>appos>appos
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e0|DDI-DrugBank.d318.s8.e2|null|h1_lemma=suggest|h2_lemma=g.|h1_tag=VBP|h2_tag=NNP|path=Imidazoles>appos>appos
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e0|DDI-DrugBank.d318.s8.e3|null|h1_lemma=suggest|h2_lemma=g.|h1_tag=VBP|h2_tag=NNP|path=Imidazoles>appos>appos
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e0|DDI-DrugBank.d318.s8.e4|null|h1_lemma=suggest|h2_lemma=g.|h1_tag=VBP|h2_tag=NNP|path=Imidazoles>appos>appos
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e0|DDI-DrugBank.d318.s8.e5|null|h1_lemma=suggest|h2_lemma=b|h1_tag=VBP|h2_tag=NN|path=nsubj<suggest>compound>nmod>nmod>conj>advmod
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e0|DDI-DrugBank.d318.s8.e6|null|h1_lemma=suggest|h2_lemma=b|h1_tag=VBP|h2_tag=NN|path=nsubj<suggest>conj>nmod>nmod>conj>advmod
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e0|DDI-DrugBank.d318.s8.e7|null|h1_lemma=suggest|h2_lemma=None|h1_tag=VBP|h2_tag=None|path=None
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e0|DDI-DrugBank.d318.s8.e8|null|h1_lemma=suggest|h2_lemma=None|h1_tag=VBP|h2_tag=None|path=None
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e1|DDI-DrugBank.d318.s8.e2|null|h1_lemma=g.|h2_lemma=g.|h1_tag=NNP|h2_tag=NNP|path=appos<g.>appos
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e1|DDI-DrugBank.d318.s8.e3|null|h1_lemma=g.|h2_lemma=g.|h1_tag=NNP|h2_tag=NNP|path=appos<g.>appos
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e1|DDI-DrugBank.d318.s8.e4|null|h1_lemma=g.|h2_lemma=g.|h1_tag=NNP|h2_tag=NNP|path=appos<g.>appos
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e1|DDI-DrugBank.d318.s8.e5|null|h1_lemma=g.|h2_lemma=b|h1_tag=NNP|h2_tag=NN|path=appos<appos<nsubj<suggest>compound>nmod>nmod>conj>advmod
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e1|DDI-DrugBank.d318.s8.e6|null|h1_lemma=g.|h2_lemma=b|h1_tag=NNP|h2_tag=NN|path=appos<appos<nsubj<suggest>conj>nmod>nmod>conj>advmod
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e1|DDI-DrugBank.d318.s8.e7|null|h1_lemma=g.|h2_lemma=None|h1_tag=NNP|h2_tag=None|path=None
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e1|DDI-DrugBank.d318.s8.e8|null|h1_lemma=g.|h2_lemma=None|h1_tag=NNP|h2_tag=None|path=None
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e2|DDI-DrugBank.d318.s8.e3|null|h1_lemma=g.|h2_lemma=g.|h1_tag=NNP|h2_tag=NNP|path=appos<g.>appos
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e2|DDI-DrugBank.d318.s8.e4|null|h1_lemma=g.|h2_lemma=g.|h1_tag=NNP|h2_tag=NNP|path=appos<g.>appos
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e2|DDI-DrugBank.d318.s8.e5|null|h1_lemma=g.|h2_lemma=b|h1_tag=NNP|h2_tag=NN|path=appos<appos<nsubj<suggest>compound>nmod>nmod>conj>advmod
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e2|DDI-DrugBank.d318.s8.e6|null|h1_lemma=g.|h2_lemma=b|h1_tag=NNP|h2_tag=NN|path=appos<appos<nsubj<suggest>conj>nmod>nmod>conj>advmod
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e2|DDI-DrugBank.d318.s8.e7|null|h1_lemma=g.|h2_lemma=None|h1_tag=NNP|h2_tag=None|path=None
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e2|DDI-DrugBank.d318.s8.e8|null|h1_lemma=g.|h2_lemma=None|h1_tag=NNP|h2_tag=None|path=None
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e3|DDI-DrugBank.d318.s8.e4|null|h1_lemma=g.|h2_lemma=g.|h1_tag=NNP|h2_tag=NNP|path=appos<g.>appos
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e3|DDI-DrugBank.d318.s8.e5|null|h1_lemma=g.|h2_lemma=b|h1_tag=NNP|h2_tag=NN|path=appos<appos<nsubj<suggest>compound>nmod>nmod>conj>advmod
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e3|DDI-DrugBank.d318.s8.e6|null|h1_lemma=g.|h2_lemma=b|h1_tag=NNP|h2_tag=NN|path=appos<appos<nsubj<suggest>conj>nmod>nmod>conj>advmod
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e3|DDI-DrugBank.d318.s8.e7|null|h1_lemma=g.|h2_lemma=None|h1_tag=NNP|h2_tag=None|path=None
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e3|DDI-DrugBank.d318.s8.e8|null|h1_lemma=g.|h2_lemma=None|h1_tag=NNP|h2_tag=None|path=None
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e4|DDI-DrugBank.d318.s8.e5|null|h1_lemma=g.|h2_lemma=b|h1_tag=NNP|h2_tag=NN|path=appos<appos<nsubj<suggest>compound>nmod>nmod>conj>advmod
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e4|DDI-DrugBank.d318.s8.e6|null|h1_lemma=g.|h2_lemma=b|h1_tag=NNP|h2_tag=NN|path=appos<appos<nsubj<suggest>conj>nmod>nmod>conj>advmod
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e4|DDI-DrugBank.d318.s8.e7|null|h1_lemma=g.|h2_lemma=None|h1_tag=NNP|h2_tag=None|path=None
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e4|DDI-DrugBank.d318.s8.e8|null|h1_lemma=g.|h2_lemma=None|h1_tag=NNP|h2_tag=None|path=None
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e5|DDI-DrugBank.d318.s8.e6|null|h1_lemma=b|h2_lemma=b|h1_tag=NN|h2_tag=NN|path=compound<b>conj
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e5|DDI-DrugBank.d318.s8.e7|null|h1_lemma=b|h2_lemma=None|h1_tag=NN|h2_tag=None|path=None
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e5|DDI-DrugBank.d318.s8.e8|null|h1_lemma=b|h2_lemma=None|h1_tag=NN|h2_tag=None|path=None
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e6|DDI-DrugBank.d318.s8.e7|null|h1_lemma=b|h2_lemma=None|h1_tag=NN|h2_tag=None|path=None
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e6|DDI-DrugBank.d318.s8.e8|null|h1_lemma=b|h2_lemma=None|h1_tag=NN|h2_tag=None|path=None
DDI-DrugBank.d318.s8|DDI-DrugBank.d318.s8.e7|DDI-DrugBank.d318.s8.e8|effect|h1_lemma=None|h2_lemma=None|h1_tag=None|h2_tag=None|path=None
DDI-DrugBank.d318.s10|DDI-DrugBank.d318.s10.e0|DDI-DrugBank.d318.s10.e1|null|h1_lemma=agent|h2_lemma=aminoglycoside|h1_tag=NNS|h2_tag=NNS|path=aminoglycoside>conj
DDI-DrugBank.d318.s10|DDI-DrugBank.d318.s10.e0|DDI-DrugBank.d318.s10.e2|null|h1_lemma=agent|h2_lemma=aminoglycoside|h1_tag=NNS|h2_tag=NNS|path=aminoglycoside>conj
DDI-DrugBank.d318.s10|DDI-DrugBank.d318.s10.e1|DDI-DrugBank.d318.s10.e2|null|h1_lemma=aminoglycoside|h2_lemma=aminoglycoside|h1_tag=NNS|h2_tag=NNS|path=conj<aminoglycoside>conj
DDI-DrugBank.d318.s12|DDI-DrugBank.d318.s12.e0|DDI-DrugBank.d318.s12.e1|null|h1_lemma=relaxant|h2_lemma=hypokalemia|h1_tag=NNS|h2_tag=NN|path=amod<relaxant>compound>nsubj>parataxis|lemmainbetween=enhance
DDI-DrugBank.d318.s12|DDI-DrugBank.d318.s12.e0|DDI-DrugBank.d318.s12.e2|null|h1_lemma=relaxant|h2_lemma=relaxant|h1_tag=NNS|h2_tag=NNS|path=amod<relaxant>amod>nmod>obj>parataxis|lemmainbetween=enhance
DDI-DrugBank.d318.s12|DDI-DrugBank.d318.s12.e0|DDI-DrugBank.d318.s12.e3|null|h1_lemma=relaxant|h2_lemma=relaxant|h1_tag=NNS|h2_tag=NNS|path=amod<relaxant>dep>nmod>obj>parataxis|lemmainbetween=enhance
DDI-DrugBank.d318.s12|DDI-DrugBank.d318.s12.e1|DDI-DrugBank.d318.s12.e2|effect|h1_lemma=hypokalemia|h2_lemma=relaxant|h1_tag=NN|h2_tag=NNS|path=compound<nsubj<enhance>amod>nmod>obj|lemmainbetween=enhance
DDI-DrugBank.d318.s12|DDI-DrugBank.d318.s12.e1|DDI-DrugBank.d318.s12.e3|effect|h1_lemma=hypokalemia|h2_lemma=relaxant|h1_tag=NN|h2_tag=NNS|path=compound<nsubj<enhance>dep>nmod>obj|lemmainbetween=enhance
DDI-DrugBank.d318.s12|DDI-DrugBank.d318.s12.e2|DDI-DrugBank.d318.s12.e3|null|h1_lemma=relaxant|h2_lemma=relaxant|h1_tag=NNS|h2_tag=NNS|path=amod<relaxant>dep
DDI-DrugBank.d318.s14|DDI-DrugBank.d318.s14.e0|DDI-DrugBank.d318.s14.e1|null|h1_lemma=transfusion|h2_lemma=b|h1_tag=NNS|h2_tag=NN|path=compound<transfusion>compound>compound>obj>acl>obl>parataxis
DDI-DrugBank.d318.s14|DDI-DrugBank.d318.s14.e0|DDI-DrugBank.d318.s14.e2|null|h1_lemma=transfusion|h2_lemma=b|h1_tag=NNS|h2_tag=NN|path=compound<transfusion>conj>compound>obj>acl>obl>parataxis
DDI-DrugBank.d318.s14|DDI-DrugBank.d318.s14.e1|DDI-DrugBank.d318.s14.e2|effect|h1_lemma=b|h2_lemma=b|h1_tag=NN|h2_tag=NN|path=compound<b>conj
DDI-DrugBank.d367.s1|DDI-DrugBank.d367.s1.e0|DDI-DrugBank.d367.s1.e1|null|h1_lemma=mesylate|h2_lemma=binding|h1_tag=NN|h2_tag=NN|path=compound<nsubj<have>nmod>nmod>obj
DDI-DrugBank.d367.s1|DDI-DrugBank.d367.s1.e0|DDI-DrugBank.d367.s1.e2|null|h1_lemma=mesylate|h2_lemma=digoxin|h1_tag=NN|h2_tag=NN|path=compound<nsubj<have>conj>nmod>nmod>obj
DDI-DrugBank.d367.s1|DDI-DrugBank.d367.s1.e0|DDI-DrugBank.d367.s1.e3|null|h1_lemma=mesylate|h2_lemma=digoxin|h1_tag=NN|h2_tag=NN|path=compound<nsubj<have>conj>nmod>nmod>obj
DDI-DrugBank.d367.s1|DDI-DrugBank.d367.s1.e0|DDI-DrugBank.d367.s1.e4|null|h1_lemma=mesylate|h2_lemma=digoxin|h1_tag=NN|h2_tag=NN|path=compound<nsubj<have>conj>nmod>nmod>obj
DDI-DrugBank.d367.s1|DDI-DrugBank.d367.s1.e1|DDI-DrugBank.d367.s1.e2|null|h1_lemma=binding|h2_lemma=digoxin|h1_tag=NN|h2_tag=NN|path=digoxin>conj
DDI-DrugBank.d367.s1|DDI-DrugBank.d367.s1.e1|DDI-DrugBank.d367.s1.e3|null|h1_lemma=binding|h2_lemma=digoxin|h1_tag=NN|h2_tag=NN|path=digoxin>conj
DDI-DrugBank.d367.s1|DDI-DrugBank.d367.s1.e1|DDI-DrugBank.d367.s1.e4|null|h1_lemma=binding|h2_lemma=digoxin|h1_tag=NN|h2_tag=NN|path=digoxin>conj
DDI-DrugBank.d367.s1|DDI-DrugBank.d367.s1.e2|DDI-DrugBank.d367.s1.e3|null|h1_lemma=digoxin|h2_lemma=digoxin|h1_tag=NN|h2_tag=NN|path=conj<digoxin>conj
DDI-DrugBank.d367.s1|DDI-DrugBank.d367.s1.e2|DDI-DrugBank.d367.s1.e4|null|h1_lemma=digoxin|h2_lemma=digoxin|h1_tag=NN|h2_tag=NN|path=conj<digoxin>conj
DDI-DrugBank.d367.s1|DDI-DrugBank.d367.s1.e3|DDI-DrugBank.d367.s1.e4|null|h1_lemma=digoxin|h2_lemma=digoxin|h1_tag=NN|h2_tag=NN|path=conj<digoxin>conj
DDI-DrugBank.d367.s3|DDI-DrugBank.d367.s3.e0|DDI-DrugBank.d367.s3.e1|null|h1_lemma=mesylate|h2_lemma=diuretic|h1_tag=NN|h2_tag=NNS|path=compound<nsubj:pass<administer>amod>obj>acl>nmod>nmod>obl|lemmainbetween=administer
DDI-DrugBank.d367.s3|DDI-DrugBank.d367.s3.e0|DDI-DrugBank.d367.s3.e2|null|h1_lemma=mesylate|h2_lemma=block|h1_tag=NN|h2_tag=VBG|path=compound<nsubj:pass<administer>obl>amod>obj|lemmainbetween=administer
DDI-DrugBank.d367.s3|DDI-DrugBank.d367.s3.e0|DDI-DrugBank.d367.s3.e3|null|h1_lemma=mesylate|h2_lemma=drug|h1_tag=NN|h2_tag=NNS|path=compound<nsubj:pass<administer>amod>conj|lemmainbetween=administer
DDI-DrugBank.d367.s3|DDI-DrugBank.d367.s3.e1|DDI-DrugBank.d367.s3.e2|null|h1_lemma=diuretic|h2_lemma=block|h1_tag=NNS|h2_tag=VBG|path=amod<obj<acl<nmod<nmod<obl<administer>obl>amod>obj|lemmainbetween=administer
DDI-DrugBank.d367.s3|DDI-DrugBank.d367.s3.e1|DDI-DrugBank.d367.s3.e3|null|h1_lemma=diuretic|h2_lemma=drug|h1_tag=NNS|h2_tag=NNS|path=amod<obj<acl<nmod<nmod<obl<administer>amod>conj|lemmainbetween=administer
DDI-DrugBank.d367.s3|DDI-DrugBank.d367.s3.e2|DDI-DrugBank.d367.s3.e3|null|h1_lemma=block|h2_lemma=drug|h1_tag=VBG|h2_tag=NNS|path=obl<amod<obj<administer>amod>conj|lemmainbetween=administer
DDI-DrugBank.d367.s4|DDI-DrugBank.d367.s4.e0|DDI-DrugBank.d367.s4.e1|mechanism|h1_lemma=dose|h2_lemma=regimen|h1_tag=NN|h2_tag=NN|path=nmod<nmod<administration>nmod>nmod>nmod
DDI-DrugBank.d367.s4|DDI-DrugBank.d367.s4.e0|DDI-DrugBank.d367.s4.e2|null|h1_lemma=dose|h2_lemma=None|h1_tag=NN|h2_tag=None|path=None
DDI-DrugBank.d367.s4|DDI-DrugBank.d367.s4.e0|DDI-DrugBank.d367.s4.e3|null|h1_lemma=dose|h2_lemma=None|h1_tag=NN|h2_tag=None|path=None
DDI-DrugBank.d367.s4|DDI-DrugBank.d367.s4.e1|DDI-DrugBank.d367.s4.e2|null|h1_lemma=regimen|h2_lemma=None|h1_tag=NN|h2_tag=None|path=None
DDI-DrugBank.d367.s4|DDI-DrugBank.d367.s4.e1|DDI-DrugBank.d367.s4.e3|null|h1_lemma=regimen|h2_lemma=None|h1_tag=NN|h2_tag=None|path=None
DDI-DrugBank.d367.s4|DDI-DrugBank.d367.s4.e2|DDI-DrugBank.d367.s4.e3|null|h1_lemma=None|h2_lemma=None|h1_tag=None|h2_tag=None|path=None
DDI-DrugBank.d367.s9|DDI-DrugBank.d367.s9.e0|DDI-DrugBank.d367.s9.e1|null|h1_lemma=anti-inflammatory|h2_lemma=None|h1_tag=JJ|h2_tag=TOP|path=amod<anti-inflammatory
DDI-DrugBank.d367.s9|DDI-DrugBank.d367.s9.e0|DDI-DrugBank.d367.s9.e2|null|h1_lemma=anti-inflammatory|h2_lemma=anti-inflammatory|h1_tag=JJ|h2_tag=JJ|path=amod<anti-inflammatory>dep
DDI-DrugBank.d367.s9|DDI-DrugBank.d367.s9.e0|DDI-DrugBank.d367.s9.e3|null|h1_lemma=anti-inflammatory|h2_lemma=acetaminophen|h1_tag=JJ|h2_tag=NN|path=amod<anti-inflammatory>conj>dep
DDI-DrugBank.d367.s9|DDI-DrugBank.d367.s9.e0|DDI-DrugBank.d367.s9.e4|null|h1_lemma=anti-inflammatory|h2_lemma=acetaminophen|h1_tag=JJ|h2_tag=NN|path=amod<anti-inflammatory>conj>dep
DDI-DrugBank.d367.s9|DDI-DrugBank.d367.s9.e0|DDI-DrugBank.d367.s9.e5|null|h1_lemma=anti-inflammatory|h2_lemma=None|h1_tag=JJ|h2_tag=None|path=None
DDI-DrugBank.d367.s9|DDI-DrugBank.d367.s9.e0|DDI-DrugBank.d367.s9.e6|null|h1_lemma=anti-inflammatory|h2_lemma=indomethacin|h1_tag=JJ|h2_tag=NN|path=amod<anti-inflammatory>compound>dep>dep
DDI-DrugBank.d367.s9|DDI-DrugBank.d367.s9.e0|DDI-DrugBank.d367.s9.e7|null|h1_lemma=anti-inflammatory|h2_lemma=acetaminophen|h1_tag=JJ|h2_tag=NN|path=amod<anti-inflammatory>dep>dep
DDI-DrugBank.d367.s9|DDI-DrugBank.d367.s9.e1|DDI-DrugBank.d367.s9.e2|null|h1_lemma=None|h2_lemma=anti-inflammatory|h1_tag=TOP|h2_tag=JJ|path=anti-inflammatory>dep
DDI-DrugBank.d367.s9|DDI-DrugBank.d367.s9.e1|DDI-DrugBank.d367.s9.e3|null|h1_lemma=None|h2_lemma=acetaminophen|h1_tag=TOP|h2_tag=NN|path=anti-inflammatory>conj>dep
DDI-DrugBank.d367.s9|DDI-DrugBank.d367.s9.e1|DDI-DrugBank.d367.s9.e4|null|h1_lemma=None|h2_lemma=acetaminophen|h1_tag=TOP|h2_tag=NN|path=anti-inflammatory>conj>dep
DDI-DrugBank.d367.s9|DDI-DrugBank.d367.s9.e1|DDI-DrugBank.d367.s9.e5|null|h1_lemma=None|h2_lemma=None|h1_tag=TOP|h2_tag=None|path=None
DDI-DrugBank.d367.s9|DDI-DrugBank.d367.s9.e1|DDI-DrugBank.d367.s9.e6|null|h1_lemma=None|h2_lemma=indomethacin|h1_tag=TOP|h2_tag=NN|path=anti-inflammatory>compound>dep>dep
DDI-DrugBank.d367.s9|DDI-DrugBank.d367.s9.e1|DDI-DrugBank.d367.s9.e7|null|h1_lemma=None|h2_lemma=acetaminophen|h1_tag=TOP|h2_tag=NN|path=anti-inflammatory>dep>dep
DDI-DrugBank.d367.s9|DDI-DrugBank.d367.s9.e2|DDI-DrugBank.d367.s9.e3|null|h1_lemma=anti-inflammatory|h2_lemma=acetaminophen|h1_tag=JJ|h2_tag=NN|path=acetaminophen>conj
